	Movie_ID	Title	Year	Genre	Genre_Combined
1322	36148	Mere Dad Ki Maruti	2013	Comedy	Comedy
1323	36149	Jolly LLB	2013	Comedy/Satire	Comedy/Satire
1324	36150	Rangrezz	2013	Action	Action
1325	36151	The Adventures of Sinbad	2013	Adventure	Adventure
1326	36152	Himmatwala	2013	Action/Comedy	Action/Comedy
1327	36153	Chashme Baddoor	2013	Comedy	Comedy
1328	36154	Nautanki Saala	2013	Comedy/Romance	Comedy/Romance
1329	36155	Commando: A One Man Army	2013	Action/Romance	Action/Romance
1330	36156	Ek Thi Daayan	2013	Horror	Horror
1331	36157	Aashiqui 2	2013	Musical romance	Musical romance
1332	36158	Shree	2013	Thriller	Thriller
1333	36159	Shootout at Wadala	2013	Crime/Thriller	Crime/Thriller
1334	36160	Bombay Talkies	2013	Anthology	Anthology
1335	36161	Chhota Bheem and the Throne of Bali	2013	Children/Animation	Children/Animation
1336	36162	Go Goa Gone	2013	Zombie comedy	Zombie comedy
1337	36163	Gippi	2013	Coming of age	Coming of age
1338	36164	Aurangzeb	2013	Drama/Action	Drama/Action
1339	36165	I Don't Luv U	2013	Romantic drama	Romantic drama
1340	36166	Beehad - The Ravines	2013	Drama	Drama
1341	36167	Ishkq in Paris	2013	Romance	Romance
1342	36168	Hum Hai Raahi Car Ke	2013	Romantic comedy	Romantic comedy
1343	36169	Zindagi 50-50	2013	Social	Social
1344	36170	Yeh Jawaani Hai Deewani	2013	Romantic comedy	Romantic comedy
1345	36171	Yamla Pagla Deewana 2	2013	Comedy/Action	Comedy/Action
1346	36172	Fukrey	2013	Comedy	Comedy
1347	36173	Ankur Arora Murder Case	2013	Thriller	Thriller
1348	36174	Raanjhanaa	2013	Romance	Romance
1349	36175	Enemmy	2013	Action	Action
1350	36176	Shortcut Romeo	2013	Romantic thriller	Romantic thriller
1351	36177	Ghanchakkar	2013	Comedy/Thriller	Comedy/Thriller
1352	36178	Lootera	2013	Romance/Thriller	Romance/Thriller
1353	36179	Policegiri	2013	Action	Action
1354	36180	Bhaag Milkha Bhaag	2013	Biopic	Biopic
1355	36181	Sixteen	2013	Drama	Drama
1356	36182	B.A. Pass	2013	Drama	Drama
1357	36183	Boyss Toh Boyss Hain	2013	Comedy	Comedy
1358	36184	Ramaiya Vastavaiya	2013	Rom-com	Rom-com
1359	36185	D Day	2013	Action/Drama	Action/Drama
1360	36186	Ship of Theseus	2013	Avant-garde	Avant-garde
1361	36187	Issaq	2013	Romance/Drama	Romance/Drama
1362	36188	Bajatey Raho	2013	Comedy	Comedy
1363	36189	Luv U Soniyo	2013	Romance	Romance
1364	36190	Nasha	2013	Erotic/Thriller	Erotic/Thriller
1365	36191	Rabba Main Kya Karoon	2013	Comedy	Comedy
1366	36192	Chor Chor Super Chor	2013	Comedy	Comedy
1367	36193	Calapor	2013	Thriller/Drama	Thriller/Drama
1368	36194	Love in Bombay	2013	Romance	Romance
1369	36195	Chennai Express	2013	Comedy/Action	Comedy/Action
1370	36196	Once Upon Ay Time In Mumbai Dobaara!	2013	Crime/Romance	Crime/Romance
1371	36197	Madras Cafe	2013	Drama/Espionage thriller	Drama/Espionage thriller
1372	36198	Satyagraha	2013	Political thriller	Political thriller
1373	36199	Zanjeer	2013	Action/Thriller	Action/Thriller
1374	36200	Shuddh Desi Romance	2013	Romance	Romance
1375	36201	Siddharth	2013	Drama	Drama
1376	36202	Grand Masti	2013	Adult comedy	Adult comedy
1377	36203	John Day	2013	Thriller	Thriller
1378	36204	Horror Story	2013	Horror	Horror
1379	36205	Phata Poster Nikhla Hero	2013	Rom com/Action	Rom com/Action
1380	36206	The Lunchbox	2013	Drama	Drama
1381	36208	Maazii	2013	Suspense thriller	Suspense thriller
1382	36209	Prague	2013	Psychological thriller/Romance	Psychological thriller/Romance
1383	36210	Super Model	2013	Drama	Drama
1384	36211	War Chhod Na Yaar	2013	War comedy	War comedy
1385	36212	Baat Bann Gayi	2013	Comedy	Comedy
1386	36213	Ek Thee Sanam	2013	Drama	Drama
1387	36214	Paapi - Ek Satya Katha	2013	Crime	Crime
1388	36215	Boss	2013	Masala	Masala
1389	36216	Shahid	2013	Drama/Biography	Drama/Biography
1390	36217	Wake Up India	2013	Political/Drama	Political/Drama
1391	36218	Amdavad Junction	2013	Crime/Drama	Crime/Drama
1392	36219	Dilli Gang	2013	Crime	Crime
1393	36220	Mickey Virus	2013	Comedy/Thriller	Comedy/Thriller
1394	36221	Ishk Actually	2013	Romance	Romance
1395	36222	Sooper Se Ooper	2013	Comedy	Comedy
1396	36223	Krrish 3	2013	Superhero	Superhero
1397	36224	Satya 2	2013	Crime	Crime
1398	36225	Rajjo	2013	Romance	Romance
1399	36226	Goliyon Ki Raasleela Ram-Leela	2013	Romance/Drama	Romance/Drama
1400	36227	Gori Tere Pyaar Mein	2013	Romance/Comedy	Romance/Comedy
1401	36228	Singh Saab The Great	2013	Action	Action
1402	36229	Bullett Raja	2013	Comedy/Crime/Romance	Comedy/Crime/Romance
1403	36230	R... Rajkumar	2013	Action/Romance	Action/Romance
1404	36232	What the Fish	2013	Drama	Drama
1405	36233	Dhoom 3	2013	Action	Action
1406	36244	Mr Joe B. Carvalho	2014	Comedy	Comedy
1407	36245	Sholay 3D	2014	Action/Adventure	Action/Adventure
1408	36246	Dedh Ishqiya	2014	Black Comedy/Thriller	Black Comedy/Thriller
1409	36247	Yaariyan	2014	Romance	Romance
1410	36248	Karle Pyaar Karle	2014	Romance	Romance
1411	36249	Miss Lovely	2014	Drama	Drama
1412	36250	Om-Dar-B-Dar	2014	Experimental	Experimental
1413	36251	Paranthe Wali Gali	2014	Romantic comedy	Romantic comedy
1414	36252	Strings of Passion	2014	Drama	Drama
1415	36253	Jai Ho	2014	Action - comedy	Action - comedy
1416	36254	One by Two	2014	Romance/Comedy	Romance/Comedy
1417	36255	Babloo Happy Hai	2014	Comedy	Comedy
1418	36256	Hasee Toh Phasee	2014	Romance/Comedy	Romance/Comedy
1419	36257	Heartless	2014	Thriller	Thriller
1420	36258	Ya Rab	2014	Drama/Social	Drama/Social
1421	36259	Gunday	2014	Action	Action
1422	36260	Kaho Na Kaho	2014	Social	Social
1423	36261	Darr @ the Mall	2014	Horror	Horror
1424	36262	Dee Saturday Night	2014	Drama	Drama
1425	36263	Gulabi Gang	2014	Documentary	Documentary
1426	36264	Highway	2014	Drama/Romance	Drama/Romance
1427	36265	Karar: The Deal	2014	Thriller	Thriller
